PLAYER_NAME,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
Andre Jackson Jr.,22.0,62,698.695,152,145,62,22,9,46,0.462,0.339,0.813
Andre Jackson Jr.,22.0,2,59.8,14,15,8,2,4,4,0.316,0.222,0.0
Andrew Funk,24.0,33,1203.98,415,110,95,22,8,50,0.392,0.365,0.737
Andrew Funk,24.0,5,13.4,0,0,0,1,1,0,0.0,0.0,0.0
Andrew Funk,24.0,4,44.483333333333334,21,4,5,1,0,2,0.368,0.353,1.0
Andrew Nembhard,24.0,70,1759.5683333333334,661,147,295,67,7,111,0.496,0.35,0.82
Andrew Wiggins,29.0,71,1920.4483333333333,939,321,119,42,41,87,0.453,0.358,0.751
Anfernee Simons,25.0,46,1581.7433333333333,1039,167,255,23,5,126,0.43,0.385,0.916
Angelo Allegri,25.0,20,249.175,78,54,8,7,3,11,0.329,0.286,0.778
Angelo Allegri,25.0,1,15.233333333333333,9,3,2,0,0,2,0.5,0.5,0.0
Anthony Black,20.0,72,1252.11,349,165,103,41,23,68,0.459,0.38,0.604
Anthony Davis,31.0,76,2700.2433333333333,1876,961,266,91,178,159,0.556,0.271,0.816
Anthony Duruji,25.0,13,291.97,79,76,15,8,7,14,0.456,0.188,0.467
Anthony Duruji,25.0,1,14.616666666666667,5,4,2,1,0,1,0.4,0.0,0.333
Anthony Edwards,22.0,79,2770.383333333333,2049,430,405,101,42,241,0.461,0.357,0.836
Anthony Gill,31.0,50,466.49666666666667,189,94,34,13,11,23,0.469,0.244,0.806
Anthony Tarke,27.0,12,249.47333333333333,70,53,10,14,12,7,0.534,0.286,0.143
Anthony Tarke,27.0,2,7.866666666666666,2,1,0,1,0,1,0.5,0.0,0.0
Antoine Davis,25.0,29,833.3766666666667,517,97,58,21,3,43,0.424,0.382,0.868
Antoine Davis,25.0,4,42.153333333333336,13,9,11,1,0,5,0.227,0.231,0.0
Arella Guirantes,26.0,9,47.483333333333334,12,6,3,1,4,3,0.25,0.167,0.6
Ariel Atkins,27.0,27,679.3316666666667,311,83,61,32,9,35,0.414,0.339,0.897
Arike Ogunbowale,27.0,40,1488.8416666666667,849,135,181,68,4,105,0.398,0.343,0.876
Armaan Franklin,23.0,17,463.14,223,52,36,10,6,31,0.387,0.34,0.815
Armaan Franklin,23.0,2,24.183333333333334,7,3,1,1,0,0,0.25,0.167,0.0
Armon Fletcher,28.0,9,76.12166666666667,30,18,2,2,1,3,0.353,0.125,0.75
Armoni Brooks,26.0,30,837.65,466,113,59,29,12,32,0.454,0.377,0.871
Armoni Brooks,26.0,15,252.22166666666666,131,42,15,6,4,9,0.426,0.419,0.8
Ashley Joens,24.0,19,127.55333333333333,39,11,1,3,0,5,0.361,0.435,0.5
Ashton Hagans,24.0,20,637.8733333333333,321,97,193,33,8,85,0.432,0.286,0.803
Ashton Hagans,24.0,19,315.57166666666666,80,45,54,11,9,30,0.408,0.32,0.824
Asia (AD) Durr,27.0,36,391.9633333333333,173,38,25,10,3,28,0.38,0.322,0.769
Au'Diese Toney,24.0,28,917.2616666666667,336,160,46,36,16,55,0.476,0.404,0.643
Au'Diese Toney,24.0,3,77.68333333333334,12,16,4,4,6,2,0.267,0.0,1.0
Ausar Thompson,21.0,67,1699.4883333333332,610,442,134,77,66,95,0.482,0.194,0.603
Austin Reaves,26.0,82,2628.95,1300,352,450,66,25,174,0.486,0.367,0.853
Awak Kuier,22.0,37,399.155,95,94,20,7,24,22,0.396,0.087,0.778
Ayo Dosunmu,24.0,76,2212.4683333333332,924,216,242,68,36,103,0.501,0.403,0.81
Azuolas Tubelis,22.0,4,46.63166666666667,10,10,4,1,1,4,0.5,0.5,0.333
Azurá Stevens,28.0,35,909.5716666666667,379,207,40,41,32,52,0.404,0.321,0.754
Babacar Sane,20.0,23,516.875,254,135,12,12,11,39,0.456,0.256,0.685
Bam Adebayo,26.0,71,2416.4733333333334,1367,737,278,81,66,162,0.521,0.357,0.755
Barry Brown Jr.,27.0,4,77.17666666666666,38,10,5,3,0,6,0.455,0.333,0.455
Ben Coupet Jr.,26.0,29,586.4716666666667,227,85,18,10,3,13,0.457,0.398,0.826
Ben Coupet Jr.,26.0,5,37.516666666666666,3,7,0,0,0,3,0.125,0.2,0.0
Ben Sheppard,22.0,62,963.5766666666667,305,108,59,37,3,20,0.397,0.326,0.857
Ben Sheppard,22.0,5,177.67666666666668,102,33,17,1,2,10,0.438,0.395,0.857
Ben Simmons,27.0,15,358.9166666666667,92,119,86,12,9,27,0.581,0.0,0.4
Bennedict Mathurin,22.0,61,1604.8566666666666,900,242,125,36,15,103,0.441,0.367,0.828
Bernadett Határ,29.0,6,47.36666666666667,12,9,1,4,2,4,0.375,0.0,0.0
Betnijah Laney-Hamilton,30.0,40,1201.1233333333332,513,130,97,34,4,75,0.499,0.392,0.791
Bilal Coulibaly,19.0,67,1837.3316666666667,581,275,118,59,57,97,0.432,0.337,0.7
Bismack Biyombo,31.0,40,791.4616666666667,174,209,53,11,37,42,0.565,0.0,0.481
Blake Wesley,21.0,67,1045.0866666666666,345,131,191,37,9,74,0.447,0.214,0.667
Boban Marjanovic,35.0,14,70.91,45,32,6,1,2,5,0.529,0.0,0.643
Bobby Portis,29.0,82,2008.1666666666667,1130,607,104,68,34,91,0.508,0.407,0.79
Bogdan Bogdanović,31.0,79,2401.4083333333333,1333,272,247,96,26,112,0.428,0.374,0.921
Bojan Bogdanovic,35.0,57,1478.0033333333333,868,152,97,30,5,101,0.454,0.398,0.785
Bol Bol,24.0,43,469.0283333333333,223,137,17,10,25,19,0.616,0.423,0.789
Bones Hyland,23.0,37,540.21,256,55,93,26,4,44,0.386,0.326,0.783
Bradley Beal,31.0,53,1766.7333333333333,964,232,265,52,27,131,0.513,0.43,0.813
