PLAYER_NAME,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
,,5,54.60666666666667,20,23,5,1,4,7,0.444,0.0,0.8
,,4,121.81666666666666,69,13,24,2,0,9,0.421,0.2,0.81
,,3,67.875,48,23,3,2,4,6,0.714,0.0,0.727
,,3,13.683333333333334,3,5,0,0,2,0,0.333,0.0,0.5
,,3,31.705,0,0,4,2,0,6,0.0,0.0,0.0
,,2,18.15,10,0,2,2,0,1,0.308,0.2,1.0
,,1,3.1166666666666667,0,1,0,0,0,2,0.0,0.0,0.0
,,1,3.1666666666666665,0,0,0,0,0,0,0.0,0.0,0.0
,,1,4.1,0,0,0,0,0,0,0.0,0.0,0.0
A'ja Wilson,28.0,38,1307.5866666666666,1021,451,88,68,98,48,0.518,0.317,0.844
A.J. Lawson,24.0,26,486.41,236,86,31,13,6,15,0.421,0.327,0.683
A.J. Lawson,24.0,23,740.1116666666667,437,107,54,29,6,46,0.434,0.379,0.648
A.J. Lawson,24.0,5,138.83166666666668,92,25,8,6,1,6,0.47,0.286,0.71
A.J. Reeves,26.0,20,259.89166666666665,122,38,21,4,1,7,0.412,0.387,0.8
AJ Green,25.0,73,1659.1416666666667,541,174,108,37,7,40,0.429,0.427,0.815
AJ Griffin,21.0,5,122.775,58,15,4,6,4,7,0.389,0.28,1.0
AJ Johnson,20.0,29,638.3866666666667,220,59,76,12,3,35,0.385,0.267,0.865
AJ Johnson,20.0,20,571.3366666666667,280,76,75,18,5,53,0.436,0.419,0.759
AJ Johnson,20.0,5,111.11333333333333,56,17,14,3,2,12,0.323,0.323,0.6
Aaliyah Edwards,22.0,34,741.1316666666667,258,191,48,25,27,50,0.49,0.0,0.65
Aari McDonald,26.0,26,567.8916666666667,226,52,96,23,6,48,0.403,0.319,0.843
Aaron Estrada,24.0,17,338.57666666666665,157,54,59,11,2,35,0.45,0.324,0.75
Aaron Estrada,24.0,5,66.98333333333333,28,9,11,1,0,8,0.407,0.308,1.0
Aaron Gordon,29.0,51,1446.7166666666667,748,247,164,23,14,73,0.531,0.436,0.81
Aaron Holiday,28.0,62,792.2466666666667,340,78,83,19,11,37,0.437,0.398,0.829
Aaron Nesmith,25.0,45,1121.6183333333333,541,178,54,35,17,37,0.507,0.431,0.913
Aaron Wiggins,26.0,76,1743.9,914,295,134,60,18,69,0.488,0.383,0.831
Abdullah Ahmed,21.0,15,274.00666666666666,60,81,14,3,33,15,0.452,0.0,0.25
Adam Flagler,25.0,42,329.1666666666667,145,40,19,11,3,7,0.329,0.274,0.625
Adam Flagler,25.0,1,28.333333333333332,31,7,5,1,0,1,0.5,0.727,1.0
Adama Sanogo,23.0,11,299.36333333333334,178,110,18,7,14,21,0.528,0.417,0.75
